0,0,1,0.5,-0.5
1,0,1,0.5,-0.5
2,0,1,0.5,-0.5
3,0,1,0.5,-0.5
4,0,1,0.5,-0.5
5,0,1,0.5,-0.5
6,0,0.88872,0.44436,-0.44436
7,0,0.733189508,0.366594754,-0.366594754
8,0,0.5724460462562,0.2862230231281,-0.2862230231281
9,0,0.426937080243538,0.213468540121769,-0.213468540121769
10,0,0.305373643881213,0.152686821940606,-0.152686821940606
11,0,0.209524385122233,0.104762192561117,-0.104762192561117
12,0,0.137427948285624,0.0687139741428119,-0.0687139741428119
13,0,0.0854429266011438,0.0427214633005719,-0.0427214633005719
14,0,0.0494781006430862,0.0247390503215431,-0.0247390503215431
15,0,0.0256685987286892,0.0128342993643446,-0.0128342993643446
16,0,0.0106948272528667,0.00534741362643334,-0.00534741362643334
17,0,0.0018841053589773,0.000942052679488651,-0.000942052679488651
18,0,-0.00280959857882681,-0.00140479928941341,0.00140479928941341
19,0,-0.00488571319404162,-0.00244285659702081,0.00244285659702081
20,0,-0.00539862804092993,-0.00269931402046497,0.00269931402046497
21,0,-0.00505890646556212,-0.00252945323278106,0.00252945323278106
22,0,-0.00432305685272243,-0.00216152842636121,0.00216152842636121
23,0,-0.00346749114268897,-0.00173374557134448,0.00173374557134448
24,0,-0.00264620567152321,-0.00132310283576161,0.00132310283576161
25,0,-0.00193375908955572,-0.000966879544777861,0.000966879544777861
26,0,-0.00135598493910925,-0.000677992469554623,0.000677992469554623
27,0,-0.000911044336698443,-0.000455522168349222,0.000455522168349222
28,0,-0.000583219702125711,-0.000291609851062856,0.000291609851062856
29,0,-0.000351479222400061,-0.000175739611200031,0.000175739611200031
30,0,-0.000194426932184607,-9.72134660923037e-05,9.72134660923037e-05
31,0,-9.28624811117534e-05,-4.64312405558767e-05,4.64312405558767e-05
32,0,-3.08395481291299e-05,-1.54197740645649e-05,1.54197740645649e-05
33,0,4.15760806952627e-06,2.07880403476314e-06,-2.07880403476314e-06
34,0,2.15060521477315e-05,1.07530260738657e-05,-1.07530260738657e-05
35,0,2.79420023094529e-05,1.39710011547264e-05,-1.39710011547264e-05
36,0,2.81080644082618e-05,1.40540322041309e-05,-1.40540322041309e-05
37,0,2.50647129848573e-05,1.25323564924287e-05,-1.25323564924287e-05
38,0,2.07266588839891e-05,1.03633294419946e-05,-1.03633294419946e-05
39,0,1.6212430409824e-05,8.10621520491198e-06,-8.10621520491198e-06
40,0,1.21108848564619e-05,6.05544242823094e-06,-6.05544242823094e-06
41,0,8.67578601116223e-06,4.33789300558112e-06,-4.33789300558112e-06
42,0,5.96211968850175e-06,2.98105984425088e-06,-2.98105984425088e-06
43,0,3.91758880797368e-06,1.95879440398684e-06,-1.95879440398684e-06
44,0,2.44111642439522e-06,1.22055821219761e-06,-1.22055821219761e-06
45,0,1.41804789851393e-06,7.09023949256964e-07,-7.09023949256964e-07
46,0,7.39577263490535e-07,3.69788631745267e-07,-3.69788631745267e-07
47,0,3.11983045326852e-07,1.55991522663426e-07,-1.55991522663426e-07
48,0,5.96500465928372e-08,2.98250232964186e-08,-2.98250232964186e-08
49,0,-7.5407643637716e-08,-3.7703821818858e-08,3.7703821818858e-08
50,0,-1.35751191342746e-07,-6.78755956713732e-08,6.78755956713732e-08
51,0,-1.51355440503647e-07,-7.56777202518233e-08,7.56777202518233e-08
52,0,-1.42454077609858e-07,-7.12270388049289e-08,7.12270388049289e-08
53,0,-1.22071617235897e-07,-6.10358086179484e-08,6.10358086179484e-08
54,0,-9.81142421117663e-08,-4.90571210558832e-08,4.90571210558832e-08
55,0,-7.50034623276452e-08,-3.75017311638226e-08,3.75017311638226e-08
56,0,-5.48953078842921e-08,-2.7447653942146e-08,2.7447653942146e-08
57,0,-3.85529149820723e-08,-1.92764574910362e-08,1.92764574910362e-08
58,0,-2.59456125831406e-08,-1.29728062915703e-08,1.29728062915703e-08
59,0,-1.66421504050004e-08,-8.32107520250022e-09,8.32107520250022e-09
60,0,-1.00554009016111e-08,-5.02770045080555e-09,5.02770045080555e-09
61,0,-5.58424146451988e-09,-2.79212073225994e-09,2.79212073225994e-09
62,0,-2.68731990202927e-09,-1.34365995101463e-09,1.34365995101463e-09
63,0,-9.13944652533108e-10,-4.56972326266554e-10,4.56972326266554e-10
64,0,9.0282974126858e-11,4.5141487063429e-11,-4.5141487063429e-11
65,0,5.91317850802078e-10,2.95658925401039e-10,-2.95658925401039e-10
66,0,7.80507680151142e-10,3.90253840075571e-10,-3.90253840075571e-10
67,0,7.89937165354542e-10,3.94968582677271e-10,-3.94968582677271e-10
68,0,7.06831905498455e-10,3.53415952749228e-10,-3.53415952749228e-10
69,0,5.85880891156029e-10,2.92940445578014e-10,-2.92940445578014e-10
70,0,4.59128465858895e-10,2.29564232929447e-10,-2.29564232929447e-10
71,0,3.43528538371647e-10,1.71764269185823e-10,-1.71764269185823e-10
72,0,2.46468411525564e-10,1.23234205762782e-10,-1.23234205762782e-10
73,0,1.69644596335223e-10,8.48222981676115e-11,-8.48222981676115e-11
74,0,1.11668601390219e-10,5.58343006951095e-11,-5.58343006951095e-11
75,0,6.97363963201545e-11,3.48681981600773e-11,-3.48681981600773e-11
76,0,4.06355730113398e-11,2.03177865056699e-11,-2.03177865056699e-11
77,0,2.13033644400828e-11,1.06516822200414e-11,-1.06516822200414e-11
78,0,9.09398513702058e-12,4.54699256851029e-12,-4.54699256851029e-12
79,0,1.86828706226547e-12,9.34143531132737e-13,-9.34143531132737e-13
80,0,-2.01699044320855e-12,-1.00849522160427e-12,1.00849522160427e-12
